,Date,Hour,PM2_MIN,PM2_MAX,PM2_AVG
0,2019-08-28,7,18.0,20.0,19.0
1,2019-08-28,8,18.0,20.0,19.0
2,2019-08-28,9,19.0,20.0,19.0
3,2019-08-28,10,19.0,20.0,19.0
4,2019-08-28,11,19.0,20.0,19.0
5,2019-08-28,12,19.0,20.0,19.0
6,2019-08-28,13,19.0,20.0,19.0
7,2019-08-28,14,20.0,21.0,20.0
8,2019-08-28,15,20.0,21.0,20.0
9,2019-08-28,16,20.0,21.0,20.0
10,2019-08-28,17,20.0,21.0,20.0
11,2019-08-28,18,20.0,21.0,20.0
12,2019-08-28,19,20.0,21.0,20.0
13,2019-08-28,20,20.0,21.0,20.0
14,2019-08-28,21,20.0,21.0,20.0
15,2019-08-28,22,20.0,21.0,20.0
16,2019-08-28,23,20.0,21.0,20.0
17,2019-08-29,0,20.0,21.0,20.0
18,2019-08-29,1,20.0,21.0,20.0
19,2019-08-29,2,20.0,21.0,20.0
20,2019-08-29,3,19.0,21.0,20.0
21,2019-08-29,4,19.0,21.0,20.0
22,2019-08-29,5,19.0,21.0,20.0
23,2019-08-29,6,19.0,21.0,20.0
24,2019-08-29,7,19.0,21.0,20.0
25,2019-08-29,8,19.0,21.0,20.0
26,2019-08-29,9,19.0,21.0,20.0
27,2019-08-29,10,18.0,21.0,19.0
28,2019-08-29,11,18.0,21.0,19.0
29,2019-08-29,12,18.0,21.0,19.0
30,2019-08-29,13,17.0,21.0,19.0
31,2019-08-29,14,17.0,21.0,19.0
32,2019-08-29,15,17.0,21.0,19.0
33,2019-08-29,16,17.0,21.0,19.0
34,2019-08-29,17,17.0,21.0,19.0
35,2019-08-29,18,17.0,21.0,19.0
36,2019-08-29,19,16.0,21.0,18.0
37,2019-08-29,20,16.0,21.0,18.0
38,2019-08-29,21,16.0,21.0,18.0
39,2019-08-29,22,16.0,20.0,18.0
40,2019-08-29,23,16.0,20.0,18.0
41,2019-08-30,0,16.0,20.0,18.0
42,2019-08-30,1,16.0,20.0,18.0
43,2019-08-30,2,15.0,19.0,17.0
44,2019-08-30,3,15.0,19.0,17.0
45,2019-08-30,4,15.0,19.0,17.0
46,2019-08-30,5,15.0,19.0,17.0
47,2019-08-30,6,15.0,19.0,17.0
48,2019-08-30,7,14.0,19.0,16.0
49,2019-08-30,8,14.0,19.0,16.0
50,2019-08-30,9,13.0,18.0,15.0
51,2019-08-30,10,13.0,18.0,15.0
52,2019-08-30,11,13.0,18.0,15.0
53,2019-08-30,12,12.0,17.0,14.0
54,2019-08-30,13,12.0,17.0,14.0
55,2019-08-30,14,12.0,17.0,14.0
56,2019-08-30,15,11.0,17.0,14.0
57,2019-08-30,16,11.0,17.0,14.0
58,2019-08-30,17,11.0,17.0,14.0
59,2019-08-30,18,11.0,16.0,13.0
60,2019-08-30,19,11.0,16.0,13.0
61,2019-08-30,20,10.0,16.0,13.0
62,2019-08-30,21,10.0,16.0,13.0
63,2019-08-30,22,10.0,16.0,13.0
64,2019-08-30,23,10.0,16.0,13.0
65,2019-08-31,0,10.0,16.0,13.0
66,2019-08-31,1,10.0,15.0,12.0
67,2019-08-31,2,10.0,15.0,12.0
68,2019-08-31,3,10.0,15.0,12.0
69,2019-08-31,4,10.0,15.0,12.0
70,2019-08-31,5,10.0,15.0,12.0
71,2019-08-31,6,9.0,14.0,11.0
72,2019-08-31,7,9.0,14.0,11.0
73,2019-08-31,8,9.0,13.0,11.0
74,2019-08-31,9,9.0,13.0,11.0
75,2019-08-31,10,9.0,13.0,11.0
76,2019-08-31,11,9.0,12.0,10.0
77,2019-08-31,12,9.0,12.0,10.0
78,2019-08-31,13,9.0,12.0,10.0
79,2019-08-31,14,9.0,11.0,10.0
80,2019-08-31,15,9.0,11.0,10.0
81,2019-08-31,16,9.0,11.0,10.0
82,2019-08-31,17,9.0,11.0,10.0
83,2019-08-31,18,9.0,11.0,10.0
84,2019-08-31,19,9.0,12.0,10.0
85,2019-08-31,20,9.0,12.0,10.0
86,2019-08-31,21,9.0,12.0,10.0
87,2019-08-31,22,9.0,12.0,10.0
88,2019-08-31,23,9.0,12.0,10.0
89,2019-09-01,0,9.0,12.0,10.0
90,2019-09-01,1,9.0,12.0,10.0
91,2019-09-01,2,9.0,12.0,10.0
92,2019-09-01,3,9.0,12.0,10.0
93,2019-09-01,4,9.0,13.0,11.0
94,2019-09-01,5,9.0,14.0,11.0
95,2019-09-01,6,9.0,14.0,11.0
96,2019-09-01,7,10.0,15.0,12.0
97,2019-09-01,8,10.0,15.0,12.0
98,2019-09-01,9,10.0,15.0,12.0
99,2019-09-01,10,10.0,15.0,12.0
100,2019-09-01,11,10.0,15.0,12.0
101,2019-09-01,12,10.0,15.0,12.0
102,2019-09-01,13,10.0,15.0,12.0
103,2019-09-01,14,10.0,15.0,12.0
104,2019-09-01,15,11.0,15.0,13.0
105,2019-09-01,16,11.0,15.0,13.0
106,2019-09-01,17,11.0,15.0,13.0
107,2019-09-01,18,12.0,15.0,13.0
108,2019-09-01,20,12.0,15.0,13.0
109,2019-09-01,21,12.0,15.0,13.0
110,2019-09-01,22,12.0,15.0,13.0
111,2019-09-01,23,12.0,15.0,13.0
112,2019-09-02,0,12.0,15.0,13.0
113,2019-09-02,1,12.0,15.0,13.0
114,2019-09-02,2,12.0,15.0,13.0
115,2019-09-02,3,12.0,15.0,13.0
116,2019-09-02,4,12.0,15.0,13.0
117,2019-09-02,5,11.0,15.0,13.0
118,2019-09-02,6,11.0,15.0,13.0
119,2019-09-02,7,11.0,15.0,13.0
120,2019-09-02,8,11.0,15.0,13.0
